"","method_id","method_name","fpr","sensitivity","error"
"1",1,"Lasso",0.0740740740740741,0.545454545454545,0.184210526315789
"2",2,"Univariate LR",0,0,0.289473684210526
"3",2,"Univariate LR",0.0740740740740741,0.272727272727273,0.263157894736842
"4",2,"Univariate LR",0,0,0.289473684210526
"5",2,"Univariate LR",0.148148148148148,0.545454545454545,0.236842105263158
"6",3,"Multivariate LR",0.111111111111111,0.545454545454545,0.210526315789474
"7",4,"KNN",0.111111111111111,0.636363636363636,0.184210526315789
"8",5,"LDA",0.0740740740740741,0.454545454545455,0.210526315789474
"9",6,"Decision-Tree",0.0740740740740741,0.454545454545455,0.210526315789474
"10",7,"Random-Forest",0.0740740740740741,0.636363636363636,0.157894736842105
"11",8,"GP-ARD",0.111111111111111,0.636363636363636,0.184210526315789
