"","method_id","method_name","fpr","sensitivity","error"
"1",1,"Lasso",0.0370370370370371,0.727272727272727,0.105263157894737
"2",2,"Univariate LR",0,0,0.289473684210526
"3",2,"Univariate LR",0,0,0.289473684210526
"4",2,"Univariate LR",0.111111111111111,0.363636363636364,0.263157894736842
"5",2,"Univariate LR",0.0740740740740741,0.272727272727273,0.263157894736842
"6",2,"Univariate LR",0,0,0.289473684210526
"7",2,"Univariate LR",0.148148148148148,0.545454545454545,0.236842105263158
"8",3,"Multivariate LR",0.0370370370370371,0.818181818181818,0.0789473684210526
"9",4,"KNN",0,0.636363636363636,0.105263157894737
"10",5,"LDA",0.0370370370370371,0.727272727272727,0.105263157894737
"11",6,"Decision-Tree",0.0740740740740741,0.545454545454545,0.184210526315789
"12",7,"Random-Forest",0.0370370370370371,0.454545454545455,0.184210526315789
"13",8,"GP-ARD",0.0740740740740741,0.727272727272727,0.131578947368421
